iter	Passed	Remaining
0	9	9648
1	22	11276
2	36	12077
3	52	13112
4	62	12473
5	72	11934
6	82	11657
7	90	11281
8	102	11268
9	112	11142
10	121	10941
11	131	10859
12	141	10757
13	152	10761
14	162	10698
15	171	10575
16	184	10643
17	196	10736
18	206	10643
19	217	10653
20	227	10607
21	237	10573
22	248	10536
23	258	10525
24	268	10462
25	278	10444
26	288	10398
27	299	10395
28	309	10368
29	318	10303
30	330	10332
31	341	10318
32	349	10233
33	359	10201
34	368	10149
35	380	10180
36	391	10178
37	400	10127
38	411	10130
39	422	10128
40	431	10084
41	442	10094
42	457	10175
43	467	10159
44	478	10145
45	488	10133
46	497	10094
47	508	10093
48	519	10078
49	530	10070
50	542	10085
51	552	10077
52	562	10042
53	573	10039
54	582	10007
55	592	9992
56	603	9984
57	612	9949
58	623	9943
59	634	9935
60	643	9904
61	655	9910
62	665	9894
63	674	9866
64	684	9852
65	693	9818
66	704	9816
67	715	9808
68	724	9778
69	736	9781
70	746	9761
71	756	9755
72	767	9751
73	776	9721
74	787	9714
75	798	9702
76	807	9673
77	818	9672
78	828	9663
79	837	9636
80	845	9588
81	854	9562
82	868	9595
83	882	9619
84	893	9619
85	902	9595
86	914	9595
87	923	9575
88	933	9556
89	944	9545
90	953	9520
91	965	9528
92	975	9516
93	984	9493
94	996	9489
95	1006	9478
96	1016	9467
97	1027	9459
98	1037	9443
99	1047	9426
100	1058	9420
101	1067	9398
102	1080	9409
103	1091	9403
104	1100	9384
105	1111	9375
106	1122	9364
107	1131	9342
108	1142	9337
109	1152	9326
110	1161	9305
111	1172	9299
112	1183	9288
113	1193	9278
114	1203	9265
115	1213	9248
116	1224	9243
117	1234	9228
118	1244	9209
119	1255	9204
120	1266	9199
121	1277	9190
122	1291	9211
123	1303	9209
124	1312	9189
125	1323	9183
126	1334	9171
127	1343	9151
128	1354	9148
129	1364	9134
130	1374	9117
131	1386	9114
132	1398	9113
133	1407	9095
134	1418	9089
135	1428	9073
136	1439	9066
137	1449	9056
138	1458	9037
139	1470	9031
140	1481	9026
141	1490	9007
142	1502	9006
143	1515	9007
144	1524	8988
145	1536	8988
146	1547	8980
147	1557	8964
148	1568	8956
149	1578	8944
150	1587	8926
151	1599	8925
152	1610	8915
153	1620	8899
