iter	Logloss
0	0.6569212592
1	0.6264845164
2	0.598134538
3	0.5704328672
4	0.5458089408
5	0.5221071432
6	0.5013170516
7	0.4802688892
8	0.4589656419
9	0.4407989723
10	0.4255390294
11	0.4106208447
12	0.3969381095
13	0.3823582432
14	0.3692862154
15	0.3571349557
16	0.3461471767
17	0.3353622156
18	0.3256113769
19	0.3158214963
20	0.3084197641
21	0.301218789
22	0.2939059641
23	0.2883147634
24	0.2816220329
25	0.2761760515
26	0.2709181935
27	0.2652306444
28	0.261196659
29	0.2558892498
30	0.2515624953
31	0.2478350549
32	0.2441235367
33	0.2410672609
34	0.237671997
35	0.2347758607
36	0.2320099931
37	0.2296121558
38	0.226562868
39	0.2240689274
40	0.2218795343
41	0.2194589744
42	0.217543974
43	0.2157770666
44	0.2138438131
45	0.2121447143
46	0.210219747
47	0.2084945013
48	0.2066618349
49	0.2050078662
50	0.2034983315
51	0.202132845
52	0.2011764182
53	0.199626744
54	0.1982521094
55	0.1971177513
56	0.1959825586
57	0.194752408
58	0.193712811
59	0.1928518432
60	0.1917597865
61	0.1909433233
62	0.1901103905
63	0.1893469432
64	0.188608797
65	0.1879295893
66	0.18727509
67	0.1867264546
68	0.1860530049
69	0.1855981681
70	0.1851192555
71	0.1845748315
72	0.1839337422
73	0.183453805
74	0.1830851806
75	0.182544723
76	0.1820872396
77	0.1816326846
78	0.1812344067
79	0.1807059254
80	0.1805720053
81	0.1803075804
82	0.1798420792
83	0.1793383964
84	0.1790156841
85	0.1785602731
86	0.1781227008
87	0.1777540671
88	0.1772375071
89	0.1767884985
90	0.1765207648
91	0.1762845322
92	0.1759749397
93	0.1757639746
94	0.1755382212
95	0.1752030133
96	0.175053698
97	0.1748910387
98	0.1747653723
99	0.1744707057
100	0.1742561231
101	0.1740618189
102	0.173822655
103	0.1735588464
104	0.1732040918
105	0.1730265234
106	0.1727473477
107	0.172546609
108	0.1723555536
109	0.172159871
110	0.171938885
111	0.1718718618
112	0.1716993816
113	0.1715131553
114	0.1713065633
115	0.1710654014
116	0.1707776933
117	0.170670887
118	0.1704101431
119	0.170230982
120	0.170082554
121	0.1699754996
122	0.1698311963
123	0.1695210056
124	0.1694337722
125	0.169215687
126	0.1690625065
127	0.1689558729
128	0.1688692988
129	0.1688471786
130	0.1686464496
131	0.1685423547
132	0.1684249649
133	0.1681934064
134	0.168112934
135	0.1679464571
136	0.1677579032
137	0.1677192187
138	0.1675809346
139	0.1674655231
140	0.1672649367
141	0.1671160933
142	0.1670443277
143	0.1668069757
144	0.1667278754
145	0.1665747709
146	0.1664207239
147	0.1662537893
148	0.1661385909
149	0.1659971747
150	0.165873044
151	0.1656963762
152	0.1656239412
153	0.1655843315
154	0.1654604534
155	0.1653227321
156	0.1651230576
157	0.1650654478
158	0.1650279264
159	0.1649658506
160	0.164902054
161	0.1648675964
162	0.1647633924
163	0.1645787118
164	0.1645382085
165	0.164475902
166	0.1643636931
167	0.1642639562
168	0.1641946166
169	0.164160398
170	0.1639968078
171	0.1639390084
172	0.1638613112
173	0.1637698114
174	0.1637213101
175	0.1636562004
176	0.163595678
177	0.1635639482
178	0.1634220007
179	0.1633454781
180	0.1632048601
181	0.163152791
182	0.1630868529
183	0.1629915551
184	0.162960242
185	0.162881025
186	0.1628283054
187	0.1626401102
188	0.1625415789
189	0.1624531468
190	0.1623779084
191	0.1623138188
192	0.1622887681
193	0.162246423
194	0.1621493695
195	0.1621003013
196	0.1620125511
197	0.1619575584
198	0.1618473019
199	0.1618171025
200	0.1617700677
201	0.1616813819
202	0.1616023345
203	0.1615232052
204	0.1614722575
205	0.161391772
206	0.1613570877
207	0.1612844234
208	0.1612511305
209	0.161183988
210	0.1611634817
211	0.1610909882
212	0.16105132
213	0.1609559239
214	0.1609053345
215	0.1608085766
216	0.1606981053
217	0.1606500199
218	0.1605833737
219	0.1605243633
220	0.160449799
221	0.1603123549
222	0.1602093777
223	0.160192733
224	0.160073601
225	0.1599774151
226	0.1599545441
227	0.1599407525
228	0.1599136926
229	0.159877762
230	0.1598254356
231	0.1597587076
232	0.159739893
233	0.1595917949
234	0.1595213096
235	0.1594219099
236	0.1593442234
237	0.159323946
238	0.1592307565
239	0.1591738614
240	0.1591706942
241	0.1591360369
242	0.1590582071
243	0.1590498904
244	0.1589651799
245	0.1588685855
246	0.1588373185
247	0.1587255087
248	0.1586014013
249	0.1585280369
250	0.1584400848
251	0.158338387
252	0.1583091883
253	0.1582426313
254	0.1581340776
255	0.1580886241
256	0.1580198902
257	0.1578861783
258	0.1578511165
259	0.1577850607
260	0.1576797165
261	0.1575457626
262	0.1574918734
263	0.1574060588
264	0.1573878555
265	0.1573695168
266	0.1573053534
267	0.157212981
268	0.1571471039
269	0.157102636
270	0.1569774531
271	0.1569475206
272	0.156870067
273	0.1568098252
274	0.1567971485
275	0.156782552
276	0.1567256227
277	0.1566061428
278	0.1565698544
279	0.1564970346
280	0.156331581
281	0.1562948255
282	0.1561466729
283	0.15609835
284	0.1560214577
285	0.1559758223
286	0.1558204746
287	0.1556644879
288	0.1556497356
289	0.1555718783
290	0.1554986997
291	0.1553780822
292	0.1552686114
293	0.1552220501
294	0.1550739315
295	0.1550353438
296	0.1549861188
297	0.1549158982
298	0.1548178628
299	0.1547630652
300	0.1546532087
301	0.1545163813
302	0.1544424416
303	0.1543868268
304	0.1543417186
305	0.1542533485
306	0.1541788433
307	0.1541227205
308	0.154012051
309	0.1539437132
310	0.153887246
311	0.1538239124
312	0.1537339299
313	0.1536727966
314	0.1535886006
315	0.1535433543
316	0.1535200616
317	0.1533808373
318	0.1533113102
319	0.1532745375
320	0.1532450885
321	0.1532061784
322	0.1531902988
323	0.1531783286
324	0.1530921617
325	0.1529715016
326	0.1528916163
327	0.1527861701
328	0.1526717837
329	0.1525793266
330	0.1525068642
331	0.152350539
332	0.1522179109
333	0.1521904762
334	0.1521795433
335	0.1521377605
336	0.1520079508
337	0.1519095306
338	0.1518960231
339	0.1518713723
340	0.1517333585
341	0.1517045173
342	0.1516293225
343	0.1515842638
344	0.1514978067
345	0.1514277857
346	0.151343887
347	0.1512614323
348	0.1511538779
349	0.1511112995
350	0.1510318005
351	0.1509100628
352	0.1508152598
353	0.1507887432
354	0.1507183685
355	0.1506795182
356	0.1505847298
357	0.1505798211
358	0.1505010851
359	0.1504593651
360	0.1503406013
361	0.1502264216
362	0.1501499956
363	0.150067187
364	0.1500007251
365	0.1499441773
366	0.1498903926
367	0.1498058124
368	0.1496857634
369	0.1496375678
370	0.1495977226
371	0.149525496
372	0.1495001793
373	0.1494302446
374	0.1492845651
375	0.1491744721
376	0.1490931711
377	0.1490203468
378	0.1489191687
379	0.1488895234
380	0.1488231954
381	0.1488015406
382	0.1487453934
383	0.1487066257
384	0.1486297467
385	0.1485396946
386	0.1484376533
387	0.1483598848
388	0.1482891028
389	0.1482144886
390	0.1481356854
391	0.1480659613
392	0.1480061053
393	0.1479381796
394	0.1478831665
395	0.1477882137
396	0.1476411697
397	0.1475447359
398	0.1474939215
399	0.1474334566
400	0.1474038372
401	0.1473174109
402	0.1471995593
403	0.1470828982
404	0.1469818912
405	0.1468389379
406	0.1467586798
407	0.146705437
408	0.1466893687
409	0.1466592536
410	0.146650875
411	0.146548323
412	0.1465220109
413	0.1464640285
414	0.1464251105
415	0.146324488
416	0.1462576838
417	0.1462428083
418	0.1461524075
419	0.1461056586
420	0.1460241447
421	0.1459904243
422	0.1459766356
423	0.1458806442
424	0.145857951
425	0.1458552326
426	0.1457771382
427	0.1456950191
428	0.1456608506
429	0.1455327678
430	0.1454643859
431	0.145371588
432	0.1453297834
433	0.1453007239
434	0.1452341621
435	0.1451789548
436	0.1450930322
437	0.1450185266
438	0.144943035
439	0.1448355687
440	0.1447684333
441	0.1447084261
442	0.1446851308
443	0.1446345291
444	0.1445684803
445	0.1444738012
446	0.1443541232
447	0.144330809
448	0.1442422689
449	0.1441863224
450	0.1440820798
451	0.1440000762
452	0.1439664957
453	0.1439473219
454	0.1439036287
455	0.1438224431
456	0.1437761969
457	0.1437163851
458	0.1437094534
459	0.143663722
460	0.1436036988
461	0.1434630307
462	0.1433846158
463	0.1432823821
464	0.1431946145
465	0.1431386735
466	0.1430559261
467	0.1430267071
468	0.1429997213
469	0.1429741151
470	0.142894092
471	0.1428319908
472	0.1427961395
473	0.1427365282
474	0.1427138613
475	0.142637041
476	0.1425582081
477	0.1425099341
478	0.1424175783
479	0.1423381325
480	0.1422310712
481	0.1421831004
482	0.1421283281
483	0.1420042556
484	0.1419137046
485	0.141840672
486	0.1417390059
487	0.1416554573
488	0.1416104702
489	0.141555613
490	0.1414766372
491	0.1414135484
492	0.1413564632
493	0.14127643
494	0.1412327829
495	0.1411547385
496	0.1410525873
497	0.1410069202
498	0.140863984
499	0.1408229792
500	0.1407411593
501	0.1407210582
502	0.140650479
503	0.1405884691
504	0.1405090319
505	0.1404720364
506	0.1404455304
507	0.1403426958
508	0.14032591
509	0.1402547041
510	0.1402087181
511	0.1401343357
512	0.1400547281
513	0.1400327156
514	0.1400111575
515	0.1399841591
516	0.1399168769
517	0.1398609778
518	0.1397599781
519	0.1396624189
520	0.1395971882
521	0.1395077915
522	0.1394333067
523	0.1393810125
524	0.1393066387
525	0.1392602679
526	0.1391897825
527	0.1391023349
528	0.1389853601
529	0.1389358577
530	0.1389113545
531	0.1388462652
532	0.1387821158
533	0.1387073616
534	0.1386290134
535	0.1386062734
536	0.1385351765
537	0.1384705321
538	0.1384133595
539	0.1383613088
540	0.1382762382
541	0.1382178046
542	0.1382024473
543	0.1381521408
544	0.1380629353
545	0.138001893
546	0.1378932709
547	0.1377676461
548	0.1377302473
549	0.1376689423
550	0.1375823435
551	0.137499447
552	0.1373970006
553	0.1373612213
554	0.1372828391
555	0.1371970002
556	0.1371076389
557	0.1370844442
558	0.1370661984
559	0.1369838656
560	0.1368491918
561	0.1367862742
562	0.1367588711
563	0.1367079446
564	0.1366416589
565	0.1365573663
566	0.1365298413
567	0.1364805577
568	0.1363623746
569	0.136271757
570	0.1362441698
571	0.1362011629
572	0.1361047153
573	0.1360277052
574	0.1359977876
575	0.1359078835
576	0.1358119239
577	0.1357355351
578	0.1357100102
579	0.1356419502
580	0.1355845876
581	0.1355287889
582	0.135486771
583	0.1354228889
584	0.1353679905
585	0.1353224767
586	0.135305359
587	0.135289772
588	0.1352459571
589	0.1351287046
590	0.1350310811
591	0.1349508892
592	0.1348572066
593	0.1348447995
594	0.1347634331
595	0.1346633557
596	0.1346130827
597	0.1345123977
598	0.1344595367
599	0.134388755
600	0.1343274029
601	0.1342477948
602	0.134210867
603	0.1341522561
604	0.134091615
605	0.1340460756
606	0.1340029911
607	0.1339042076
608	0.1338603244
609	0.1337515468
610	0.1336890749
611	0.1336080948
612	0.1335711566
613	0.1334936616
614	0.133485645
615	0.1334435104
616	0.1333963593
617	0.1333093104
618	0.1332103564
619	0.1331855599
620	0.1330829892
621	0.1330083754
622	0.1330007744
623	0.132993429
624	0.1329709569
625	0.13290013
626	0.1328931354
627	0.1328719564
628	0.1327905719
629	0.1327199501
630	0.1326383788
631	0.1326182171
632	0.1325923437
633	0.1325369016
634	0.132516901
635	0.1324526388
636	0.132394674
637	0.1323161836
638	0.1322970542
639	0.1322906858
640	0.1321852173
641	0.1321189827
642	0.1320587957
643	0.1320070232
644	0.1319725624
645	0.131921335
646	0.1318531227
647	0.1317981096
648	0.1317170103
649	0.1316753876
650	0.131567023
651	0.1315268587
652	0.1315188806
653	0.1314322476
654	0.1313918952
655	0.1312813096
656	0.1312330916
657	0.1312090625
658	0.1311053792
659	0.1310920106
660	0.1310184462
661	0.1310073898
662	0.1309550199
663	0.1309164241
664	0.1308975041
665	0.1308382496
666	0.1308215782
667	0.1307876005
668	0.1307327726
669	0.1307257195
670	0.1306760807
671	0.1306365203
672	0.1305670548
673	0.1305487737
674	0.1305114856
675	0.1304201867
676	0.1303729062
677	0.1303066512
678	0.1302705396
679	0.1301996955
680	0.1301887481
681	0.1301334339
682	0.1301228668
683	0.1300774586
684	0.1300672567
685	0.1300043344
686	0.1299578893
687	0.1299200062
688	0.1298206906
689	0.1297218863
690	0.1296744464
691	0.1296056879
692	0.1295539013
693	0.1294543494
694	0.1294254456
695	0.1293728686
696	0.1293274397
697	0.1292920968
698	0.129237543
699	0.1291882492
700	0.1291107281
701	0.1290237356
702	0.1289637359
703	0.1288853531
704	0.128784958
705	0.1286808362
706	0.1286469964
707	0.1285784743
708	0.1285384884
709	0.1284886796
710	0.1284225525
711	0.1283720024
712	0.1283052832
713	0.1282056074
714	0.128163301
715	0.1281209506
716	0.1280565957
717	0.1279974969
718	0.1279787617
719	0.1279491448
720	0.1278667018
721	0.1278063646
722	0.1277331324
723	0.1276343832
724	0.1275945288
725	0.1275743594
726	0.1275104222
727	0.1274924845
728	0.1273994026
729	0.1273592947
730	0.1273101444
731	0.1272430897
732	0.1271489646
733	0.1270584933
734	0.1269651005
735	0.1269085228
736	0.1268434682
737	0.1268023885
738	0.1266445439
739	0.1266137859
740	0.1265237737
741	0.1264754992
742	0.126436951
743	0.1263319498
744	0.1263001657
745	0.1261318339
746	0.1260541093
747	0.1259800739
748	0.1259186925
749	0.1258781397
750	0.1258304348
751	0.1257285061
752	0.1256694865
753	0.1255797512
754	0.1254684194
755	0.1254231214
756	0.1253474656
757	0.1252923489
758	0.1252296141
759	0.1251423503
760	0.125107567
761	0.1250531873
762	0.1250073953
763	0.1249905462
764	0.1249743969
765	0.1249011339
766	0.1247430908
767	0.1246685456
768	0.1246326686
769	0.1245520149
770	0.1244544667
771	0.1243871064
772	0.1243564308
773	0.1243097329
774	0.1242932429
775	0.1242408507
776	0.1241701053
777	0.1241246466
778	0.1240344137
779	0.1240015794
780	0.123894131
781	0.123829899
782	0.1237802819
783	0.1236950763
784	0.1236480716
785	0.1236274728
786	0.1235939932
787	0.1235225153
788	0.123502821
789	0.1234319873
790	0.1233973074
791	0.1233289054
792	0.1232638399
793	0.1232171963
794	0.1231367979
795	0.1230544314
796	0.1229865951
797	0.1229505063
798	0.1228996573
799	0.1228343763
800	0.1227577245
801	0.1226468486
802	0.1226070063
803	0.1225865369
804	0.122513505
805	0.1224638571
806	0.1224092937
807	0.1223622809
808	0.1222930037
809	0.1221876728
810	0.1221388106
811	0.1220960944
812	0.1220650175
813	0.1219812517
814	0.1219028751
815	0.1218367716
816	0.1217582461
817	0.1216295926
818	0.1215823806
819	0.1215071619
820	0.1214561185
821	0.1214046623
822	0.1213167692
823	0.121268811
824	0.1212110304
825	0.1211534607
826	0.121087821
827	0.121029616
828	0.1209532559
829	0.1208782619
830	0.1208293495
831	0.1207581048
832	0.1206828444
833	0.1206653496
834	0.1206200325
835	0.1205562432
836	0.1204851694
837	0.1204395236
838	0.1204037983
839	0.1202695131
840	0.1202170743
841	0.1201660024
842	0.1200835369
843	0.1200123638
844	0.1199289378
845	0.1199041997
846	0.1198092545
847	0.119716906
848	0.119684184
849	0.1196381475
850	0.1195563545
851	0.1194485928
852	0.1194172386
853	0.1193624763
854	0.1193026266
855	0.1192589412
856	0.119173847
857	0.1191424912
858	0.1190673507
859	0.1189832101
860	0.118891845
861	0.1188014793
862	0.1187405901
863	0.1186879082
864	0.1186267199
865	0.1185761667
866	0.1185017472
867	0.1184408757
868	0.1184027331
869	0.1183618322
870	0.1182901411
871	0.1181975729
872	0.1181397871
873	0.1180637217
874	0.1180148091
875	0.1179162838
876	0.1178397686
877	0.1177852314
878	0.1177407256
879	0.1177031737
880	0.1176218626
881	0.1175437469
882	0.117492956
883	0.1174475923
884	0.1174153707
885	0.1173712243
886	0.1172780593
887	0.1172278986
888	0.1171917089
889	0.1171170195
890	0.1170624292
891	0.1170162012
892	0.1169677003
893	0.1169443346
894	0.116923501
895	0.1168863136
896	0.1168384201
897	0.1167669337
898	0.1167260201
899	0.1166809819
900	0.1166237089
901	0.1165540076
902	0.1165101806
903	0.1164454908
904	0.1164064243
905	0.1163353205
906	0.1162880804
907	0.1162376297
908	0.116174043
909	0.1161281131
910	0.1160541884
911	0.1160011515
912	0.1158715693
913	0.1158414046
914	0.1157998798
915	0.1157638441
916	0.1157206691
917	0.1156762848
918	0.115629989
919	0.1155734542
920	0.1154893951
921	0.1154442518
922	0.1154395776
923	0.1153672502
924	0.1152832398
925	0.1152468694
926	0.1151995303
927	0.1151887168
928	0.1151842403
929	0.1151361205
930	0.1150704496
931	0.1149913654
932	0.1149675679
933	0.1149098955
934	0.1148697988
935	0.1147969729
936	0.1147068436
937	0.1146316902
938	0.1145708535
939	0.1145664835
940	0.1145622499
941	0.1144845196
942	0.1144651071
943	0.1144609577
944	0.1144569301
945	0.1144122076
946	0.1143846704
947	0.1143569878
948	0.1143103901
949	0.1142666199
950	0.1142308571
951	0.1142002524
952	0.1141544105
953	0.1140839488
954	0.1140654309
955	0.1140195928
956	0.1139609497
957	0.1139285585
958	0.1138801166
959	0.1138336897
960	0.1137883758
961	0.1137618408
962	0.1137471913
963	0.1137053145
964	0.1136390073
965	0.113565732
966	0.1135175442
967	0.1134528503
968	0.1133983072
969	0.1133444307
970	0.1132830246
971	0.1132612815
972	0.1132213792
973	0.1131320414
974	0.1130945216
975	0.1130146935
976	0.112937785
977	0.1128664558
978	0.1127980603
979	0.1127350957
980	0.1126872614
981	0.1126833699
982	0.1126196827
983	0.1125744129
984	0.1125546017
985	0.1124881297
986	0.1124196824
987	0.1123512832
988	0.1122929668
989	0.1121950883
990	0.112172756
991	0.1121269149
992	0.112064643
993	0.1120026987
994	0.1119797944
995	0.1119380085
996	0.1118708808
997	0.1118266225
998	0.1117988732
999	0.1117422616
