iter	Passed	Remaining
412	3737	5312
413	3745	5302
414	3755	5294
415	3764	5284
416	3776	5280
417	3786	5271
418	3794	5261
419	3804	5253
420	3812	5243
421	3823	5236
422	3835	5231
423	3843	5221
424	3853	5213
425	3862	5204
426	3872	5196
427	3883	5189
428	3891	5179
429	3901	5171
430	3909	5160
431	3918	5152
432	3927	5142
433	3934	5130
434	3942	5120
435	3952	5112
436	3959	5101
437	3969	5093
438	3978	5084
439	3988	5076
440	3997	5067
441	4005	5057
442	4015	5048
443	4023	5038
444	4033	5030
445	4041	5020
446	4050	5011
447	4059	5001
448	4068	4992
449	4076	4982
450	4085	4973
451	4094	4964
452	4103	4954
453	4112	4946
454	4121	4936
455	4130	4927
456	4138	4917
457	4148	4909
458	4157	4900
459	4166	4890
460	4175	4881
461	4183	4872
462	4193	4863
463	4202	4855
464	4212	4846
465	4220	4836
466	4229	4827
467	4239	4818
468	4249	4810
469	4260	4804
470	4269	4794
471	4277	4785
472	4286	4776
473	4296	4767
474	4305	4758
475	4313	4748
476	4323	4739
477	4331	4730
478	4341	4722
479	4350	4713
480	4359	4703
481	4368	4694
482	4376	4684
483	4388	4678
484	4396	4668
485	4406	4660
486	4416	4652
487	4424	4642
488	4433	4632
489	4441	4622
490	4450	4613
491	4458	4603
492	4467	4594
493	4475	4584
494	4485	4576
495	4493	4566
496	4503	4558
497	4513	4549
498	4521	4539
499	4530	4530
500	4538	4520
501	4547	4511
502	4555	4501
503	4564	4492
504	4573	4482
505	4582	4473
506	4590	4464
507	4600	4455
508	4608	4445
509	4618	4437
510	4630	4430
511	4638	4420
512	4649	4413
513	4661	4407
514	4669	4397
515	4678	4388
516	4687	4378
517	4696	4370
518	4705	4361
519	4715	4352
520	4724	4344
521	4734	4335
522	4743	4326
523	4752	4316
524	4762	4308
525	4770	4298
526	4779	4289
527	4788	4280
528	4797	4271
529	4806	4262
530	4814	4252
531	4823	4243
532	4833	4234
533	4842	4226
534	4851	4216
535	4860	4207
536	4869	4198
537	4878	4189
538	4887	4179
539	4895	4170
540	4906	4162
541	4914	4152
542	4924	4144
543	4933	4135
544	4942	4126
545	4951	4116
546	4959	4107
547	4968	4098
548	4976	4088
549	4986	4079
550	4994	4069
551	5004	4061
552	5012	4051
553	5023	4043
554	5032	4035
555	5041	4025
556	5050	4016
557	5060	4008
558	5071	4001
559	5080	3992
560	5089	3982
561	5097	3973
562	5107	3964
563	5118	3956
564	5127	3948
565	5137	3939
566	5145	3929
567	5154	3920
568	5163	3910
569	5171	3901
570	5180	3892
571	5188	3882
572	5198	3874
573	5206	3864
574	5217	3856
575	5225	3846
576	5234	3837
577	5245	3829
578	5253	3819
579	5263	3811
580	5271	3801
581	5282	3793
582	5290	3784
583	5299	3775
584	5309	3766
585	5317	3756
586	5326	3747
587	5335	3738
588	5344	3729
589	5353	3720
590	5363	3711
591	5371	3702
592	5380	3693
593	5390	3684
594	5398	3674
595	5407	3665
596	5416	3656
597	5426	3647
598	5436	3639
599	5444	3629
600	5454	3620
601	5464	3612
602	5475	3604
603	5483	3595
604	5493	3586
605	5501	3577
606	5510	3567
607	5519	3558
608	5527	3548
609	5536	3539
610	5545	3530
611	5555	3522
612	5563	3512
613	5573	3503
614	5581	3494
615	5590	3485
616	5599	3475
617	5608	3466
618	5618	3458
619	5626	3448
620	5636	3440
621	5647	3432
622	5655	3422
623	5664	3413
624	5673	3403
625	5682	3394
626	5690	3385
627	5700	3376
628	5708	3367
629	5718	3358
630	5726	3349
631	5736	3340
632	5745	3330
633	5754	3322
634	5765	3313
635	5773	3304
636	5783	3295
637	5791	3286
638	5800	3277
639	5809	3267
640	5818	3258
641	5827	3249
642	5835	3239
643	5844	3230
644	5852	3221
645	5862	3212
646	5872	3204
647	5881	3195
648	5890	3185
649	5900	3177
650	5912	3169
651	5920	3160
652	5930	3151
653	5939	3142
654	5947	3132
655	5956	3123
656	5966	3114
657	5976	3106
658	5984	3096
659	5994	3088
660	6003	3078
661	6011	3069
662	6020	3060
663	6028	3050
664	6037	3041
665	6046	3032
666	6057	3023
667	6065	3014
668	6075	3005
669	6085	2997
670	6094	2988
671	6103	2979
672	6112	2969
673	6121	2960
674	6130	2951
675	6140	2942
676	6148	2933
677	6158	2924
678	6166	2915
679	6176	2906
680	6185	2897
681	6193	2888
682	6203	2879
683	6211	2869
684	6221	2860
685	6230	2851
686	6238	2842
687	6247	2833
688	6257	2824
689	6267	2815
690	6276	2806
691	6286	2798
692	6295	2788
693	6306	2780
694	6318	2772
695	6327	2763
696	6335	2754
697	6344	2745
698	6353	2735
699	6362	2726
700	6370	2717
701	6380	2708
702	6390	2699
703	6400	2690
704	6409	2681
705	6417	2672
706	6426	2663
707	6435	2654
708	6444	2644
709	6452	2635
710	6462	2626
711	6470	2617
712	6480	2608
713	6489	2599
714	6501	2591
715	6512	2583
716	6520	2573
717	6530	2564
718	6538	2555
719	6547	2546
720	6556	2536
721	6564	2527
722	6573	2518
723	6584	2509
724	6594	2501
725	6604	2492
726	6613	2483
727	6622	2474
728	6630	2464
729	6640	2456
730	6648	2446
731	6658	2437
732	6667	2428
733	6676	2419
734	6685	2410
735	6693	2401
736	6703	2392
737	6713	2383
738	6723	2374
739	6731	2365
740	6740	2356
741	6750	2347
742	6759	2338
743	6771	2329
744	6780	2320
745	6789	2311
746	6798	2302
747	6808	2293
748	6818	2284
749	6826	2275
750	6836	2266
751	6845	2257
752	6855	2248
753	6864	2239
754	6872	2230
755	6882	2221
756	6890	2211
757	6900	2203
758	6908	2193
759	6918	2184
760	6929	2176
761	6937	2166
762	6946	2157
763	6954	2148
764	6964	2139
765	6972	2130
766	6982	2121
767	6991	2111
768	7000	2102
769	7008	2093
770	7018	2084
771	7027	2075
772	7035	2066
773	7045	2057
774	7053	2047
775	7063	2038
776	7073	2030
777	7082	2020
778	7091	2011
779	7099	2002
780	7108	1993
781	7117	1984
782	7127	1975
783	7135	1965
784	7145	1957
785	7154	1947
786	7162	1938
787	7172	1929
788	7182	1920
789	7193	1912
790	7202	1903
791	7211	1893
792	7219	1884
793	7229	1875
794	7238	1866
795	7246	1857
796	7256	1848
797	7264	1838
798	7275	1830
799	7284	1821
800	7292	1811
801	7302	1802
802	7311	1793
803	7321	1784
804	7333	1776
805	7341	1767
806	7350	1757
807	7358	1748
808	7367	1739
809	7375	1730
810	7385	1721
811	7393	1711
812	7403	1702
813	7411	1693
814	7421	1684
815	7430	1675
816	7439	1666
817	7449	1657
818	7457	1648
819	7467	1639
820	7475	1629
821	7485	1620
822	7493	1611
823	7503	1602
824	7512	1593
825	7520	1584
826	7529	1575
827	7539	1566
828	7549	1557
829	7557	1547
830	7567	1538
831	7576	1529
832	7586	1521
833	7599	1512
834	7607	1503
835	7616	1494
836	7625	1485
837	7635	1476
838	7644	1466
839	7653	1457
840	7662	1448
841	7671	1439
842	7680	1430
843	7690	1421
844	7698	1412
845	7707	1402
846	7715	1393
847	7724	1384
848	7732	1375
849	7742	1366
850	7753	1357
851	7762	1348
852	7771	1339
853	7779	1329
854	7788	1320
855	7798	1311
856	7808	1302
857	7816	1293
858	7828	1285
859	7837	1275
860	7846	1266
861	7855	1257
862	7863	1248
863	7873	1239
864	7881	1230
865	7891	1221
866	7899	1211
867	7908	1202
868	7917	1193
869	7925	1184
870	7934	1175
871	7943	1165
872	7952	1156
873	7961	1147
874	7971	1138
875	7980	1129
876	7989	1120
877	7999	1111
878	8009	1102
879	8021	1093
880	8029	1084
881	8038	1075
882	8048	1066
883	8057	1057
884	8066	1048
885	8075	1039
886	8084	1029
887	8093	1020
888	8102	1011
889	8111	1002
890	8119	993
891	8128	984
892	8137	974
893	8146	965
894	8154	956
895	8164	947
896	8173	938
897	8183	929
898	8192	920
899	8201	911
900	8211	902
901	8220	893
902	8230	884
903	8239	874
904	8248	865
905	8257	856
906	8266	847
907	8276	838
908	8284	829
909	8294	820
910	8302	811
911	8313	802
912	8322	793
913	8331	783
914	8340	774
915	8348	765
916	8357	756
917	8366	747
918	8376	738
919	8384	729
920	8394	720
921	8402	710
